,,avg down time per resource,aircraft,total down time,registration number,downs,total tail down time,avg tail down time,downed,upped,duration,downed reason,squawk,comments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,5/13/2024 16:15,5/14/2024 7:46,15:31,downed by ETA,Other,Adjustments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,12/14/2024 10:50,1/9/2025 11:47,624:57:00,downed by ETA,Avionics,ADAHRS 2 Failure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,2/20/2024 19:13,2/21/2024 9:54,14:41,Squawk,Engine,mixture
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,2/21/2024 13:45,2/22/2024 13:11,23:26,downed by ETA,50 Hr Inspect,down for hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,2/22/2024 17:16,2/27/2024 12:50,115:34:00,downed by ETA,Other,Mixture wouldn't shut off engine
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,3/12/2024 18:49,3/13/2024 8:07,13:18,downed by ETA,Other,tail strike
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,3/21/2024 13:28,3/25/2024 10:47,93:19:00,downed by ETA,50 Hr Inspect,Time to inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,4/8/2024 8:15,4/8/2024 13:06,4:51,Squawk,,RH brake temp sticker black
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,6/24/2024 10:07,6/24/2024 11:22,1:15,downed by ETA,Avionics,traffic center failure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,7/16/2024 7:47,7/17/2024 11:20,27:33:00,Inspection,,#3 mags
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,4/16/2024 12:20,4/18/2024 13:28,49:08:00,downed by ETA,50 Hr Inspect,Time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,4/25/2024 10:59,4/25/2024 15:11,4:12,downed by ETA,Engine,High Egt
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,6/5/2024 10:13,6/6/2024 12:41,26:28:00,Squawk,,boost pump
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,6/10/2024 15:49,6/10/2024 17:36,1:47,Squawk,,Adjust heat exchanger
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,6/25/2024 6:47,7/8/2024 14:29,319:42:00,Squawk,,IFD 2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,7/31/2024 11:36,8/2/2024 9:44,46:08:00,downed by ETA,50 Hr Inspect,"Time, alternator failure"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,5/15/2024 12:07,5/16/2024 17:15,29:08:00,Inspection,,#1 Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,5/21/2024 12:45,5/21/2024 13:03,0:18,downed by ETA,Avionics,Battery Drain
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,6/18/2024 23:54,6/19/2024 10:26,10:32,downed by ETA,Other,hard landing
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,4/24/2024 13:53,4/25/2024 8:04,18:11,downed by ETA,Airframe,gap at the wing root
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,6/11/2024 18:39,6/12/2024 15:34,20:55,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,8/3/2024 16:36,8/5/2024 9:39,41:03:00,downed by ETA,Airframe,Suspected tail strike
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,8/21/2024 12:36,8/24/2024 12:00,71:24:00,downed by ETA,50 Hr Inspect,Out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,10/2/2024 10:31,10/4/2024 7:52,45:21:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,10/16/2024 17:30,10/17/2024 9:29,15:59,Squawk,,Gascolator sump leaking
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,11/9/2024 10:00,11/11/2024 11:14,49:14:00,downed by ETA,Engine,Fuel cutoff not cutting off
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,9/10/2024 15:12,9/11/2024 11:29,20:17,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,9/18/2024 20:34,9/19/2024 13:14,16:40,Squawk,Avionics,alt 2 never came on
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,9/3/2024 11:48,9/3/2024 15:59,4:11,downed by ETA,Engine,Engine roughness
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,9/25/2024 18:17,9/26/2024 13:22,19:05,Squawk,Avionics,low alt 2 warning
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,10/23/2024 8:51,10/25/2024 15:07,54:16:00,downed by ETA,50 Hr Inspect,time out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,11/2/2024 14:51,11/5/2024 11:24,68:33:00,downed by ETA,Airframe,Tire roughness
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,11/7/2024 20:10,11/8/2024 13:24,17:14,downed by ETA,Engine,Engine would only shut off after 45 seconds after mixture was pulled
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,11/22/2024 8:46,11/22/2024 12:07,3:21,Squawk,,Glareshield
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU43 N54DN,33,1405:32:00,42:36:00,11/26/2024 20:37,12/3/2024 11:05,158:28:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,2/14/2024 17:58,2/20/2024 9:49,135:51:00,downed by ETA,50 Hr Inspect,Due for inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,3/23/2024 21:03,3/25/2024 9:18,36:15:00,downed by ETA,Other,High oil pressure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,2/7/2024 19:48,2/8/2024 10:52,15:04,Squawk,Aircraft Malfunc,Low Alt Message
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,2/21/2024 18:40,2/22/2024 9:09,14:29,Squawk,,
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,3/29/2024 21:28,4/3/2024 13:36,112:08:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,4/6/2024 13:13,4/8/2024 8:39,43:26:00,Squawk,Engine,Low alt 2 and low oil pressure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,1/17/2024 16:22,1/18/2024 8:56,16:34,downed by ETA,Airframe,caps cover no longer attaching
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,3/2/2024 12:05,3/5/2024 10:06,70:01:00,downed by ETA,Other,Timed out for inspection and hard landing
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,3/5/2024 10:09,3/5/2024 11:52,1:43,Inspection,,
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,2/1/2024 12:37,2/5/2024 7:45,91:08:00,downed by ETA,Engine,high oil pressure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,4/15/2024 15:39,4/16/2024 12:16,20:37,downed by ETA,Other,alt one
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,4/26/2024 6:49,4/30/2024 8:55,98:06:00,Inspection,,#5
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,5/15/2024 20:33,5/21/2024 12:19,135:46:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,6/5/2024 9:13,6/5/2024 10:10,0:57,Squawk,,lh strobe
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,6/10/2024 20:07,6/12/2024 12:39,40:32:00,downed by ETA,50 Hr Inspect,Out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,4/24/2024 12:59,4/24/2024 14:08,1:09,downed by ETA,Engine,excessive mag drop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,6/3/2024 16:00,6/4/2024 9:31,17:31,downed by ETA,Other,"right mag dropped 160, 30 on the left"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,7/9/2024 10:34,7/9/2024 15:01,4:27,downed by ETA,Engine,Excessive MAG drop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,6/20/2024 9:23,6/20/2024 13:46,4:23,downed by ETA,Engine,Alt 2 failure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,6/25/2024 23:51,6/27/2024 11:36,35:45:00,Inspection,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,7/11/2024 17:41,7/12/2024 9:21,15:40,downed by ETA,Engine,"Right mag drop 170, engine roughness"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,7/31/2024 12:01,7/31/2024 13:52,1:51,downed by ETA,Engine,Mag off
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,8/14/2024 23:18,8/15/2024 10:21,11:03,downed by ETA,Engine,"before mag ground during shutdown checklist, engine was idle at 380 rpm."
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,4/18/2024 12:17,4/19/2024 13:13,24:56:00,downed by ETA,Avionics,"low o2 reading, possible sensor error"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,4/22/2024 8:27,4/22/2024 12:54,4:27,downed by ETA,Engine,Mag check not good
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,7/12/2024 14:53,7/13/2024 11:48,20:55,Squawk,Engine,right mag drop 160 rpm
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,5/28/2024 19:36,5/30/2024 12:20,40:44:00,downed by ETA,Engine,CHT temp and engine roughness
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,5/31/2024 9:40,5/31/2024 10:08,0:28,Squawk,Engine,Right mag failed mag check
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,7/19/2024 6:45,7/22/2024 9:01,74:16:00,Inspection,,#3
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,8/9/2024 12:05,8/12/2024 10:33,70:28:00,downed by ETA,50 Hr Inspect,Time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,10/7/2024 16:23,10/9/2024 11:02,42:39:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,10/28/2024 17:04,11/7/2024 6:50,229:46:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,11/7/2024 6:50,11/7/2024 13:34,6:44,Squawk,,Test flight
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,9/13/2024 17:34,9/16/2024 8:27,62:53:00,downed by ETA,50 Hr Inspect,Out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,10/14/2024 14:45,10/14/2024 15:41,0:56,downed by ETA,Other,adjustments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,8/26/2024 16:11,8/28/2024 13:19,45:08:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,9/3/2024 9:52,9/3/2024 13:13,3:21,Squawk,Engine,High cht
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,9/19/2024 10:21,9/20/2024 10:19,23:58,downed by ETA,Engine,Low oil press. on runup
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,11/9/2024 11:40,11/9/2024 14:05,2:25,downed by ETA,Engine,Alt 2 intermittent
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU44 N80GD,40,1579:29:00,39:29:00,8/26/2024 8:04,8/26/2024 9:03,0:59,Squawk,,R elevator screws
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU45 N42VR,1,27287:47:00,27287:47:00,3/28/2022 10:38,,27287:47:00,Squawk,Other,Long term mx
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,2/20/2024 12:34,2/20/2024 14:24,1:50,downed by ETA,Engine,High Oil Pressure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,3/28/2024 11:03,3/28/2024 11:31,0:28,downed by ETA,Other,attitude indicator
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,3/28/2024 13:44,3/29/2024 14:10,24:26:00,downed by ETA,50 Hr Inspect,out of time for inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,2/2/2024 18:50,2/5/2024 12:26,65:36:00,downed by ETA,Engine,CHT
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,3/13/2024 17:40,3/14/2024 8:56,15:16,Squawk,Engine,"low idle, low oil pressure"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,2/6/2024 15:22,2/7/2024 12:24,21:02,Squawk,Engine,Boost Pump Breaker Popped
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,4/6/2024 9:23,4/6/2024 11:44,2:21,downed by ETA,Other,GPS 2 fault
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,3/1/2024 10:11,3/4/2024 13:19,75:08:00,downed by ETA,50 Hr Inspect,Phase #2 (4th) Engine/Propeller Detail [Cycle Completion]*	
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,3/13/2024 9:08,3/13/2024 12:49,3:41,Squawk,,Boost pump pops CB
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,2/14/2024 17:32,2/19/2024 13:58,116:26:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,6/30/2024 18:55,7/8/2024 10:39,183:44:00,Inspection,,411/413 cert due
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,4/22/2024 14:32,5/16/2024 10:51,572:19:00,Inspection,,Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,7/31/2024 15:07,8/1/2024 12:00,20:53,Inspection,,Inspection #2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,8/15/2024 10:24,8/15/2024 11:12,0:48,downed by ETA,Airframe,Right steering inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,7/13/2024 18:41,7/17/2024 7:46,85:05:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,5/29/2024 23:57,6/3/2024 7:53,103:56:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,6/19/2024 9:30,6/20/2024 14:53,29:23:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,8/9/2024 8:47,8/9/2024 9:57,1:10,downed by ETA,Other,broken ferring
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,8/21/2024 15:40,8/28/2024 15:17,167:37:00,Inspection,,#5 Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,9/10/2024 21:23,9/12/2024 10:12,36:49:00,downed by ETA,Engine,low oil pressure(student wanted to be cautious)
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,9/14/2024 11:50,9/16/2024 11:46,47:56:00,downed by ETA,Engine,power fluctuation and fuel qtty display malfuntion.
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,9/16/2024 11:56,9/16/2024 13:45,1:49,Squawk,,
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,10/24/2024 7:58,10/24/2024 9:22,1:24,downed by ETA,Other,flap relay
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,10/8/2024 10:54,10/11/2024 14:23,75:29:00,Squawk,Avionics,alt 2 breaker popped on takeoff and again after checklist
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,11/1/2024 17:23,11/2/2024 13:22,19:59,downed by ETA,Other,Flat spot on right tire
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,9/17/2024 14:48,9/19/2024 10:27,43:39:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,11/13/2024 14:59,11/18/2024 9:19,114:20:00,downed by ETA,50 Hr Inspect,time out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU46 N93TA,28,2214:31:00,79:05:00,11/20/2024 16:34,12/6/2024 14:31,381:57:00,Squawk,Avionics,ADAHRS miscompare
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,2/23/2024 15:48,2/27/2024 17:09,97:21:00,downed by ETA,50 Hr Inspect,down for hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,3/1/2024 12:42,3/4/2024 8:23,67:41:00,Squawk,Other,lost alt 1
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,3/16/2024 9:40,3/16/2024 12:22,2:42,downed by ETA,Avionics,Uncommanded PFD page change
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,2/14/2024 15:48,2/14/2024 16:08,0:20,downed by ETA,Airframe,flap overspeed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,3/13/2024 21:53,3/14/2024 12:22,14:29,downed by ETA,Other,Significant flat spot on left tire
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,2/7/2024 17:59,2/8/2024 14:42,20:43,downed by ETA,50 Hr Inspect,Downed for inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,3/25/2024 17:11,3/28/2024 11:42,66:31:00,downed by ETA,50 Hr Inspect,Downed for Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,5/21/2024 11:47,5/22/2024 7:10,19:23,downed by ETA,Engine,Excessive oil leak
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,6/17/2024 15:36,6/17/2024 16:11,0:35,Squawk,,maintenance required
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,7/8/2024 14:21,7/11/2024 9:38,67:17:00,Squawk,,LH strobe inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,7/15/2024 12:25,7/16/2024 10:48,22:23,downed by ETA,Other,Nose gear issue on t/o
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,8/7/2024 16:56,8/8/2024 9:50,16:54,downed by ETA,Other,"Possible flat spot, flap overspeed"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,4/12/2024 9:58,4/15/2024 14:37,76:39:00,Inspection,,#4
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,4/25/2024 18:18,4/26/2024 9:14,14:56,downed by ETA,Other,bad run up
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,4/30/2024 18:02,5/1/2024 9:47,15:45,Squawk,Engine,EGT Cyl 3 all over the place
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,5/28/2024 19:38,5/30/2024 16:29,44:51:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,7/12/2024 10:38,7/12/2024 16:53,6:15,downed by ETA,Avionics,gps 1 fault
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU47 N53PB,44,1977:13:00,44:56:00,7/31/2024 19:37,8/1/2024 8:00,12:23,downed by ETA,Avionics,gps 1 fault
