,,avg down time per resource,aircraft,total down time,registration number,downs,total tail down time,avg tail down time,downed,upped,duration,downed reason,squawk,comments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,9/3/2024 19:48,9/4/2024 8:25,12:37,downed by ETA,Engine,low oil pres
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,9/23/2024 6:57,9/27/2024 15:44,104:47:00,Inspection,,Rod repair
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,10/21/2024 13:42,10/23/2024 13:16,47:34:00,downed by ETA,50 Hr Inspect,Downed for time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,8/27/2024 16:38,8/28/2024 10:16,17:38,downed by ETA,Engine,rpm
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,8/30/2024 8:16,8/30/2024 10:28,2:12,Squawk,,RH strobe inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,9/4/2024 19:32,9/9/2024 10:27,110:55:00,downed by ETA,Engine,"low oil presure, 9psi"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,11/21/2024 11:03,11/21/2024 17:51,6:48,Squawk,,Worn Glare shield and trim
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,12/2/2024 16:09,12/3/2024 15:41,23:32,downed by ETA,50 Hr Inspect,Downed for time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,1/12/2024 11:09,1/12/2024 11:19,0:10,Squawk,,landing light inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,12/21/2023 11:18,1/4/2024 15:09,339:51:00,downed by ETA,50 Hr Inspect,50 Hr Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,3/30/2024 8:47,3/30/2024 13:59,5:12,Squawk,,Rudder issues
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,2/14/2024 15:32,2/19/2024 12:54,117:22:00,downed by ETA,50 Hr Inspect,Due for inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,3/16/2024 11:06,3/16/2024 11:52,0:46,downed by ETA,Engine,Possible oil leak
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,3/28/2024 11:29,3/29/2024 13:29,26:00:00,downed by ETA,50 Hr Inspect,Down for Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,2/29/2024 9:20,2/29/2024 13:33,4:13,downed by ETA,50 Hr Inspect,Down For Time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,3/1/2024 15:03,3/4/2024 12:10,69:07:00,downed by ETA,Airframe,excessive wheel shimmy
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,6/11/2024 16:25,6/12/2024 9:03,16:38,downed by ETA,Engine,dead mag
